title,author,series,position,subgenre,spice,fave,rating
Beneath the Surface,Emily McIntire,,4,Romance,0,,0
There Are No Saints,Sophie Lark,,1,Dark Romance,0,,2.5
There Is No Devil,Sophie Lark,,2,Dark Romance,0,,2.5
The Hook Up,Kristen Callihan,,1,Romance,0,,0
The Friend Zone,Kristen Callihan,,2,Romance,0,,0
The Game Plan,Kristen Callihan,,3,Romance,0,,0
The Hot Shot,Kristen Callihan,,4,Romance,0,,0
Crave,Tracy Wolff,,1,Romance,0,,0
Not Your Pucking Girl,Sheridan Anne,,1,Romance,0,,0
Offside,Avery Keelan,,1,Romance,0,,0
Gleam,Raven Kennedy,,3,Romantasy,0,,0
Glow,Raven Kennedy,,4,Romantasy,0,,0
The Devils and the Dutchess,Marissa Farrar,,1,Romance,0,,3.0
The Devils and their Doll,Marissa Farrar,,2,Romance,0,,3.0
The Devils' Darling,Marissa Farrar,,3,Romance,0,,3.0
Mafia and Scars,Isa Oliver,,,Romance,0,,3.0
Kiss to Conquer,Anna B. Doe,,1,Romance,0,,3.0
Kiss to Forgeet,Anna B. Doe,,2,Romance,0,,3.0
Beautiful Graves,L.J. Shen,,,Romance,0,,2.0
Improbable Meet-Cute Second Chances,multiple authors,,,Romance,0,,3.0
Chasing the Wild,Elliott Rose,,1,Romance,0,,2.5
Where I Belong,J. Daniels,,1,Romance,0,,2.5
All I Want,J. Daniels,,2,Romance,0,,2.5
The Penalty,D.C. Kile,,1,Romance,0,,2.5
The Score,Elle Kennedy,,3,Romance,0,,3.5
The Goal,Elle Kennedy,,4,Romance,0,,3.0
The Legacy,Elle Kennedy,,5,Romance,0,,3.5
Endgame,Willa Gray,,,Romance,0,,3.0
Mountain Daddy,S.J. Tilly,,2,Romance,0,,2.5
The Hidden Falling,Kelly Cove,,1,Romantasy,0,,2.5
The Dark Rising,Kelly Cove,,2,Romantasy,0,,3.0
Camera Shy,Kay Cove,,1,Romance,0,,3.0
Snapshot,Kay Cove,,2,Romance,0,,3.0
Vanguard,Karina Halle,,,Dark Romance,0,,0
The Wrong Quarterback,C.R. Jane,,1,Romance,0,,2.5
The Wrong Play,C.R. Jane,,2,Romance,0,,3.0
Face Off,Chelsea Curto,,1,Romance,0,,4.0
Bulletproof,K.M. Moronova,Dark Forces,4,Romance,0,,3.0
Shutout,Avery Keelan,,2,Romance,0,,3.5
A Broken Promise,Tetyana Walker,,1,Romantasy,0,,3.5
A Simple Truth,Tetyana Walker,,2,Romantasy,0,,3.5
A Rising Hope,Tetyana Walker,,3,Romantasy,0,,3.5
A Photo Finish,Elsie Silver,,2,Romance,0,,3.5
The Front Runner,Elsie Silver,,3,Romance,0,,3.5
The False Start,Elsie Silver,,4,Romance,0,,3.5
